Year,Code,Waste,WstOper,Value
1997,354,0,1,-1
1997,354,0,2,-1
1997,354,0,3,-1
1997,354,1,1,-1
1997,354,1,2,-1
1997,354,1,3,-1
1997,354,2,1,-1
1997,354,2,2,-1
1997,354,2,3,-1
1997,354,3,1,-1
1997,354,3,2,-1
1997,354,3,3,-1
1997,354,4,1,-1
1997,354,4,2,-1
1997,354,4,3,-1
1997,354,5,1,-1
1997,354,5,2,-1
1997,354,5,3,-1
1997,354,6,1,-1
1997,354,6,2,-1
1997,354,6,3,-1
1997,354,7,1,-1
1997,354,7,2,-1
1997,354,7,3,-1
1997,354,8,1,-1
1997,354,8,2,-1
1997,354,8,3,-1
1997,423,0,1,-1
1997,423,0,2,-1
1997,423,0,3,-1
1997,423,1,1,-1
1997,423,1,2,-1
1997,423,1,3,-1
1997,423,2,1,-1
1997,423,2,2,-1
1997,423,2,3,-1
1997,423,3,1,-1
1997,423,3,2,-1
1997,423,3,3,-1
1997,423,4,1,-1
1997,423,4,2,-1
1997,423,4,3,-1
1997,423,5,1,-1
1997,423,5,2,-1
1997,423,5,3,-1
1997,423,6,1,-1
1997,423,6,2,-1
1997,423,6,3,-1
1997,423,7,1,-1
1997,423,7,2,-1
1997,423,7,3,-1
1997,423,8,1,-1
1997,423,8,2,-1
1997,423,8,3,-1
1997,47,0,1,-1
1997,47,0,2,-1
1997,47,0,3,-1
1997,47,1,1,-1
1997,47,1,2,-1
1997,47,1,3,-1
1997,47,2,1,-1
1997,47,2,2,-1
1997,47,2,3,-1
1997,47,3,1,-1
1997,47,3,2,-1
1997,47,3,3,-1
1997,47,4,1,-1
1997,47,4,2,-1
1997,47,4,3,-1
1997,47,5,1,-1
1997,47,5,2,-1
1997,47,5,3,-1
1997,47,6,1,-1
1997,47,6,2,-1
1997,47,6,3,-1
1997,47,7,1,-1
1997,47,7,2,-1
1997,47,7,3,-1
1997,47,8,1,-1
1997,47,8,2,-1
1997,47,8,3,-1
1998,32,0,1,1426360
1998,32,0,2,1039990
1998,32,0,3,906380
1998,32,1,1,539750
1998,32,1,2,506380
1998,32,1,3,448580
1998,32,2,1,217640
1998,32,2,2,109850
1998,32,2,3,57030
1998,32,3,1,142000
1998,32,3,2,79400
1998,32,3,3,75000
1998,32,4,1,137370
1998,32,4,2,90530
1998,32,4,3,90530
1998,32,5,1,-1
1998,32,5,2,-1
1998,32,5,3,-1
1998,32,6,1,-1
1998,32,6,2,-1
1998,32,6,3,-1
1998,32,7,1,334690
1998,32,7,2,221010
1998,32,7,3,221010
1998,32,8,1,54910
1998,32,8,2,32820
1998,32,8,3,14230
1998,359,0,1,-1
1998,359,0,2,-1
1998,359,0,3,-1
1998,359,1,1,-1
1998,359,1,2,-1
1998,359,1,3,-1
1998,359,2,1,-1
1998,359,2,2,-1
1998,359,2,3,-1
1998,359,3,1,-1
1998,359,3,2,-1
1998,359,3,3,-1
1998,359,4,1,-1
1998,359,4,2,-1
1998,359,4,3,-1
1998,359,5,1,-1
1998,359,5,2,-1
1998,359,5,3,-1
1998,359,6,1,-1
1998,359,6,2,-1
1998,359,6,3,-1
1998,359,7,1,-1
1998,359,7,2,-1
1998,359,7,3,-1
1998,359,8,1,-1
1998,359,8,2,-1
1998,359,8,3,-1
1998,420,0,1,-1
1998,420,0,2,-1
1998,420,0,3,-1
1998,420,1,1,-1
1998,420,1,2,-1
1998,420,1,3,-1
1998,420,2,1,-1
1998,420,2,2,-1
1998,420,2,3,-1
1998,420,3,1,-1
1998,420,3,2,-1
1998,420,3,3,-1
1998,420,4,1,-1
1998,420,4,2,-1
1998,420,4,3,-1
1998,420,5,1,-1
1998,420,5,2,-1
1998,420,5,3,-1
1998,420,6,1,-1
1998,420,6,2,-1
1998,420,6,3,-1
1998,420,7,1,-1
1998,420,7,2,-1
1998,420,7,3,-1
1998,420,8,1,-1
1998,420,8,2,-1
1998,420,8,3,-1
1998,45,0,1,837927
1998,45,0,2,741755
1998,45,0,3,418761
1998,45,1,1,435228
1998,45,1,2,426137
1998,45,1,3,253400
1998,45,2,1,172196
1998,45,2,2,161712
1998,45,2,3,11455
1998,45,3,1,-1
1998,45,3,2,-1
1998,45,3,3,-1
1998,45,4,1,54518
1998,45,4,2,21867
1998,45,4,3,21867
1998,45,5,1,-1
1998,45,5,2,-1
1998,45,5,3,-1
1998,45,6,1,-1
1998,45,6,2,-1
1998,45,6,3,-1
1998,45,7,1,175985
1998,45,7,2,132039
1998,45,7,3,132039
1998,45,8,1,0
1998,45,8,2,0
1998,45,8,3,0
1998,49,0,1,14090200
1998,49,0,2,11473900
1998,49,0,3,11223900
1998,49,1,1,5677000
1998,49,1,2,5006000
1998,49,1,3,5006000
1998,49,2,1,1611400
1998,49,2,2,952500
1998,49,2,3,952500
1998,49,3,1,1968000
1998,49,3,2,1440000
1998,49,3,3,1190000
1998,49,4,1,1108700
1998,49,4,2,915400
1998,49,4,3,915400
1998,49,5,1,89000
1998,49,5,2,69100
1998,49,5,3,69100
1998,49,6,1,1019700
1998,49,6,2,846300
1998,49,6,3,846300
1998,49,7,1,3711500
1998,49,7,2,3160000
1998,49,7,3,3160000
1998,49,8,1,13600
1998,49,8,2,0
1998,49,8,3,0
1998,372,0,1,-1
1998,372,0,2,-1
1998,372,0,3,-1
1998,372,1,1,-1
1998,372,1,2,-1
1998,372,1,3,-1
1998,372,2,1,-1
1998,372,2,2,-1
1998,372,2,3,-1
1998,372,3,1,-1
1998,372,3,2,-1
1998,372,3,3,-1
1998,372,4,1,-1
1998,372,4,2,-1
1998,372,4,3,-1
1998,372,5,1,-1
1998,372,5,2,-1
1998,372,5,3,-1
1998,372,6,1,-1
1998,372,6,2,-1
1998,372,6,3,-1
1998,372,7,1,-1
1998,372,7,2,-1
1998,372,7,3,-1
1998,372,8,1,-1
1998,372,8,2,-1
1998,372,8,3,-1
1998,353,0,1,682688
1998,353,0,2,100904
1998,353,0,3,100904
1998,353,1,1,300174
1998,353,1,2,44654
1998,353,1,3,44654
1998,353,2,1,168834
1998,353,2,2,4402
1998,353,2,3,4402
1998,353,3,1,-1
1998,353,3,2,-1
1998,353,3,3,-1
1998,353,4,1,39252
1998,353,4,2,1595
1998,353,4,3,1595
1998,353,5,1,11780
1998,353,5,2,480
1998,353,5,3,480
1998,353,6,1,27472
1998,353,6,2,1115
1998,353,6,3,1115
1998,353,7,1,111417
1998,353,7,2,36000
1998,353,7,3,36000
1998,353,8,1,63011
1998,353,8,2,14253
1998,353,8,3,14253
1998,30,0,1,794800
1998,30,0,2,275300
1998,30,0,3,275300
1998,30,1,1,340000
1998,30,1,2,225500
1998,30,1,3,225500
1998,30,2,1,223300
1998,30,2,2,8000
1998,30,2,3,8000
1998,30,3,1,-1
1998,30,3,2,-1
1998,30,3,3,-1
1998,30,4,1,72000
1998,30,4,2,7800
1998,30,4,3,7800
1998,30,5,1,-1
1998,30,5,2,-1
1998,30,5,3,-1
1998,30,6,1,-1
1998,30,6,2,-1
1998,30,6,3,-1
1998,30,7,1,159500
1998,30,7,2,34000
1998,30,7,3,34000
1998,30,8,1,0
1998,30,8,2,0
1998,30,8,3,0
1998,34,0,1,6318358
1998,34,0,2,2355903
1998,34,0,3,2120217
1998,34,1,1,2598385
1998,34,1,2,1464532
1998,34,1,3,1355500
1998,34,2,1,1147200
1998,34,2,2,214815
1998,34,2,3,99000
1998,34,3,1,689946
1998,34,3,2,23683
1998,34,3,3,19595
1998,34,4,1,359827
1998,34,4,2,85702
1998,34,4,3,78951
1998,34,5,1,-1
1998,34,5,2,-1
1998,34,5,3,-1
1998,34,6,1,-1
1998,34,6,2,-1
1998,34,6,3,-1
1998,34,7,1,1523000
1998,34,7,2,567171
1998,34,7,3,567171
1998,34,8,1,0
1998,34,8,2,0
1998,34,8,3,0
1998,33,0,1,11641000
1998,33,0,2,6516000
1998,33,0,3,4835000
1998,33,1,1,4123000
1998,33,1,2,3400000
1998,33,1,3,2515000
1998,33,2,1,1628000
1998,33,2,2,672000
1998,33,2,3,131000
1998,33,3,1,1696000
1998,33,3,2,556000
1998,33,3,3,305000
1998,33,4,1,681000
1998,33,4,2,312000
1998,33,4,3,308000
1998,33,5,1,-1
